label,text
1,圧倒的にわかりやすい。本書の特徴は、何と言っても「ゼロから作る」という名のとおり、ライブラリーに頼らず、各処理の内容をステップ・バイ・ステップで説明しているところだと思う。
0,使えない。端末上でやる前提なので他の開発環境を使おうとすると不便。
1,多くの方が絶賛していますがまさに同感です。特に非エンジニアの方におすすめです。
0,誤記が多いのでご注意下さい。しかし、非常に誤記、誤表現が多いです。
1,DeepLearningの入門書として最適な一冊。近年多大な功績を挙げ一躍有名になったDeepLearningについて，ライブラリ等の既成のフレームワーク等にはなるべく頼らず一から説明していこうというのが本書の趣旨になります．
0,頓挫した。肝心なアルゴリズムの説明を省略してる。
1,完成度が高い本です名前とおりゼロからpython及びDeep Learningを学べる本です。
0,読めたもんじゃない。Amazonにお勧めと出たので何も考えずに買ったのですが、失敗でした。
1,とても分かりやすい。ニューラルネットワーク関係の本をいくつか読み比べたりしていましたが、評判どおり本書が最も分かりやすかったです。
0,かなり難しい。初心者には難しすぎます。ゼロからの人は他の書籍で学んでからをお勧めします。
1,実践できなくてもある程度は理解できる。Pythonを触ったことがなくてもAIを知らなくてもディープラーニングの仕組みを1から理解できる。むしろ知らない人が実践すると効果が高い。
0,行列の積を行列の内積などと書いている。著者は数学を勉強したことがほとんどないようである。
1,自分で実装することで挙動がわかる。いきなりdeep learningのframeworkを触ってぼんやりわかったような気になっていた時に読んでかなり視界が開けた。
0,他と同じでわかりにくい。とっつきやすく見せようとして失敗している。
1,ノンプログラマーなのに買ってしまった。Pythonはもとより、プログラミングなんて全く出来ません。それでも「人工知能スゲー」という動機で、本書に手を出してしまいました。
0,逆伝播の説明から説明不足。逆伝播を数式でなく図のようなもので説明して分かりやすくしようとしているが、かえってわかりにくい。
1,やはり名著。計算グラフを用いてBack Propagationを説明しているところは、数学に不慣れな人でこれからDeepLearningを学ぶものは必ず目を通しておいた方がよいと思えるほど良い内容でした。
0,よく分からない。この手のものはやはり本だと難しい印象です。
1,感動。この書が数々の本の中で初めて読了できた本です。
